provincia,region,localidad,de0a9Mbps,de10a20Mbps,de21a49Mbps,de50a99Mbps,de100a199Mbps,de200a499Mbps,de500a1024Mbps,otros,adsl,cableModem,dialUp,fibraOptica,otros_tec,satelital,wimax,wireless,totalTecnologia,latitud,longitud
Buenos Aires,Provincia de Buenos Aires,Joaquin Gorina,0,18,22,326,506,122,7,0,0,876,0,125,0,0,0,0,1001,-34.9017817335757,-58.039185928571
Buenos Aires,Provincia de Buenos Aires,Jorge Born,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,-34.69896,-59.31944
Buenos Aires,Provincia de Buenos Aires,Jose Hernandez,0,0,0,10,16,4,1,0,0,31,0,0,0,0,0,0,31,-34.8985896635727,-58.0143972026636
Buenos Aires,Provincia de Buenos Aires,Jose Ingenieros,82,110,45,1165,1002,155,15,0,141,1877,0,546,3,0,0,5,2572,-34.6171528691842,-58.5342186326877
Buenos Aires,Provincia de Buenos Aires,Jose Melchor Romero,0,98,6,431,340,36,23,0,0,934,0,0,0,0,0,0,934,-34.9455092438623,-58.0362904746611
Buenos Aires,Provincia de Buenos Aires,Jose Mármol,25,524,1460,2762,3445,470,106,0,0,7374,1,1410,2,0,0,1,8788,-34.7851442510713,-58.3681475603787
Buenos Aires,Provincia de Buenos Aires,José B. Casas,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,6,-40.4363643935514,-62.5449343513868
Buenos Aires,Provincia de Buenos Aires,José C Paz,1640,2044,12255,14662,11209,1247,664,1,2429,28431,84,12224,482,2,0,108,43760,-34.5211611965464,-58.770881112578
Buenos Aires,Provincia de Buenos Aires,José Juan Almeyra,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,-34.9232643360691,-59.5422519447044
Buenos Aires,Provincia de Buenos Aires,José Maria Ezeiza,468,835,5086,5812,6235,859,293,18,540,13930,13,4959,0,2,0,92,19536,-34.8536100103068,-58.5195521653909
Buenos Aires,Provincia de Buenos Aires,José María Jáuregui (Est. Jáuregui),40,854,1345,786,462,82,1,32,487,1001,0,2094,0,0,0,20,3602,-34.6028553295745,-59.1757529081248
Buenos Aires,Provincia de Buenos Aires,Juan A. De La Peña,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,-33.8322767381074,-60.4864895356947
Buenos Aires,Provincia de Buenos Aires,Juan A. Pradere,48,41,0,0,0,0,0,0,0,84,0,0,1,0,0,4,89,-39.5993801239416,-62.6510470779021
Buenos Aires,Provincia de Buenos Aires,Juan Anchorena (Est. Urquiza),284,10,0,0,0,0,0,0,71,0,0,217,0,0,0,5,293,-33.9263378592898,-60.3829034809436
Buenos Aires,Provincia de Buenos Aires,Juan Bautista Alberdi (Est. Alberdi),465,643,0,0,0,0,0,5,252,457,0,396,0,0,0,8,1113,-34.4387919326349,-61.8121893821736
Buenos Aires,Provincia de Buenos Aires,Juan Cousté (Est. Algarrobo),75,7,0,0,0,0,0,0,0,0,2,0,0,0,0,82,84,-38.8942604188728,-63.1361581918897
Buenos Aires,Provincia de Buenos Aires,Juan E. Barra,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,-37.8233871716044,-60.484639770555
Buenos Aires,Provincia de Buenos Aires,Juan José Paso,391,12,0,0,0,0,0,10,0,0,0,28,0,0,0,385,413,-35.8524740557321,-62.2962123802194
Buenos Aires,Provincia de Buenos Aires,Juan María Gutierrez,244,399,21,2984,1924,369,53,0,501,2376,4,3072,0,0,0,44,5997,-34.8348420760566,-58.1819061125702
Buenos Aires,Provincia de Buenos Aires,Juan N. Fernández,640,0,0,0,0,0,0,0,525,0,0,0,0,2,0,113,640,-38.0091787783017,-59.2634988347821
Buenos Aires,Provincia de Buenos Aires,Junín,11013,1150,1219,10795,8120,755,11,13,3361,18285,87,3058,89,1,0,8310,33191,-34.5838316271397,-60.9472651715327
Buenos Aires,Provincia de Buenos Aires,La Angelita,95,0,0,0,0,0,0,0,26,0,0,0,2,0,0,67,95,-34.2608740726731,-60.9685988224111
Buenos Aires,Provincia de Buenos Aires,La Armonía,65,38,3,0,0,0,0,0,0,0,0,0,0,0,0,106,106,-37.774854850113,-57.6351210747907
Buenos Aires,Provincia de Buenos Aires,La Capilla,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,4,-34.9437330109546,-58.2632550914349
Buenos Aires,Provincia de Buenos Aires,La Carreta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-36.207576751709,-62.2386894226074
Buenos Aires,Provincia de Buenos Aires,La Constancia,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,-37.2286256057071,-58.7603890048806
Buenos Aires,Provincia de Buenos Aires,La Cumbre,50,65,0,0,0,0,0,30,0,0,0,0,0,0,0,145,145,-34.9235917717359,-58.0019478733944
Buenos Aires,Provincia de Buenos Aires,La Lonja,1253,1099,305,715,891,698,90,86,3245,1406,0,19,0,0,0,467,5137,-34.4448149403448,-58.8393730861805
Buenos Aires,Provincia de Buenos Aires,La Lucila,184,281,113,2074,2386,677,88,0,336,4208,1,1257,1,0,0,0,5803,-34.4985433329471,-58.486582489457
Buenos Aires,Provincia de Buenos Aires,La Luisa,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,-34.1285572110784,-59.9240058312679
Buenos Aires,Provincia de Buenos Aires,La Plata,10983,8390,43167,63938,50387,9650,633,144,11819,131591,537,39467,805,9,0,3239,187467,-34.920863104693,-57.9540560062469
Buenos Aires,Provincia de Buenos Aires,La Reja,291,1828,855,2332,2262,248,124,0,61,5062,8,2103,493,1,0,190,7918,-34.6452391234366,-58.8380252692761
Buenos Aires,Provincia de Buenos Aires,La Rica,66,21,1,0,0,39,0,0,39,0,0,0,0,0,0,97,136,-34.9739189538858,-59.8639302070489
Buenos Aires,Provincia de Buenos Aires,La Sofía,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-35.7003907357414,-61.1702865161871
Buenos Aires,Provincia de Buenos Aires,La Tablada,989,1922,120,6007,7007,637,298,0,365,15630,2,10,7,0,0,933,16947,-34.6870536689657,-58.5256123986254
Buenos Aires,Provincia de Buenos Aires,La Trinidad,109,1,0,0,0,0,0,0,0,15,0,0,0,0,0,95,110,-34.1068549430168,-61.1317020714357
Buenos Aires,Provincia de Buenos Aires,La Unión,483,862,49,4503,3505,399,185,0,107,9052,1,823,0,2,0,0,9985,-34.8503859677023,-58.5558695462288
Buenos Aires,Provincia de Buenos Aires,La Violeta,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-33.7347851403163,-60.1701773086428
